specimen,taxon,loco
AMNH170715Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170717Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170719Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170723Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170725Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170728Eulemur_fulvus_albifrons,Eulemur_fulvus_albifrons,AQ
AMNH170749Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,AQ
AMNH170750Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,AQ
AMNH170755Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,AQ
AMNH170759Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,AQ
AMNH170764Eulemur_fulvus_collaris,Eulemur_fulvus_collaris,AQ
BMNH1870-5-5-7Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
BMNH1948-10-18-1Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
BMNH1948-10-18-2Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
BMNH1948-5-12-7Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
MNHN1906-36Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
MNHN1962-231Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
MNHN1987-251Eulemur_fulvus_albifrons,Eulemur_fulvus_fulvus,AQ
MNHN1996-2160Eulemur_fulvus_fulvus,Eulemur_fulvus_albifrons,AQ
MNHNA3916Eulemur_fulvus,Eulemur_fulvus_fulvus,AQ
AMNH187354Galago_senegalensis,Galago_senegalensis,VCL
AMNH187355Galago_senegalensis,Galago_senegalensis,VCL
AMNH187357Galago_senegalensis,Galago_senegalensis,VCL
AMNH187358Galago_senegalensis,Galago_senegalensis,VCL
AMNH187359Galago_senegalensis,Galago_senegalensis,VCL
AMNH187361Galago_senegalensis,Galago_senegalensis,VCL
AMNH187367Galago_senegalensis,Galago_senegalensis,VCL
BMNH1952-7-28-1Galago_senegalensis_senegalensis,Galago_senegalensis,VCL
BMNH1952-7-28-2Galago_senegalensis_senegalensis,Galago_senegalensis,VCL
BMNH1952-7-28-3Galago_senegalensis_senegalensis,Galago_senegalensis,VCL
BMNH1952-7-2-8-4Galago_senegalensis_senegalensis,Galago_senegalensis,VCL
BMNH1962-27Galago_senegalensis_braccatus,Galago_senegalensis,VCL
BMNH1963-5-7-1Galago_senegalensis_moholi,Galago_moholi,VCL
FMNH54443Galago_senegalensis,Galago_senegalensis,VCL
FMNH58976Galago_senegalensis,Galago_senegalensis,VCL
FMNH127375Galago_senegalensis,Galago_senegalensis,VCL
FMNH134470Galago_senegalensis,Galago_senegalensis,VCL
FMNH135741Galago_senegalensis,Galago_senegalensis,VCL
FMNH186919Galago_senegalensis,Galago_senegalensis,VCL
FMNH186925Galago_senegalensis,Galago_senegalensis,VCL
MNHN1966-338Galago_senegalensis,Galago_senegalensis,VCL
NMNH397875Galago_senegalensis,Galago_senegalensis,VCL
NMNH397966Galago_senegalensis,Galago_senegalensis,VCL
NMNH397967Galago_senegalensis,Galago_senegalensis,VCL
NMNH397968Galago_senegalensis,Galago_senegalensis,VCL
NMNH397969Galago_senegalensis,Galago_senegalensis,VCL
NMNH398069Galago_senegalensis,Galago_senegalensis,VCL
NMNH450748Galago_senegalensis_senegalensis,Galago_senegalensis,VCL
NMNH589581Galago_senegalensis,Galago_senegalensis,VCL
AMNH54090Gorilla_gorilla_beringei,Gorilla_beringei,TQ
AMNH54091Gorilla_gorilla_beringei,Gorilla_beringei,TQ
AMNH54092Gorilla_gorilla_beringei,Gorilla_beringei,TQ
AMNH54327Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH54355Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH54356Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH81651Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH81652Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH90290Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH167335Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH167336Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH167338Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH167340Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH201459Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH201460Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
AMNH239597Gorilla_gorilla,Gorilla_gorilla,TQ
CMNHHTB1756Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
CMNHHTB1798Gorilla_gorilla_gorilla,Gorilla_gorilla,TQ
